"1011Apr0099 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'T' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0100 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'U' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0101 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'V' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0102 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'X' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0103 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'Y' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0104 Modulex White Modulex Tile 1 x 1 with Thin Dark Grey 'Z' Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0105 Modulex Medium Blue Modulex Tile 1 x 1 with Black Dot / Circle Outline Print with No Lining","LEGO-Modulex-1 v1 1963 Unused Modulex parts sold by LEGO"
"1011Apr0105 Modulex Medium Blue Modulex Tile 1 x 1 with Black Dot / Circle Outline Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0106 Modulex Light Orange Modulex Tile 1 x 1 with Black Circle Outline Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0107 Modulex Pink Red Modulex Tile 1 x 1 with Black Diamond Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
"1011Apr0108 Modulex Aqua Green Modulex Tile 1 x 1 with Black Diamond Print with No Lining","LEGO-Modulex-1 v3 1963 Unused Modulex parts sold by LEGO"
